"ensembl_gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","mgi_symbol"
"ENSMUSG00000086285",0.800062541884644,0.581673820840897,2.29454271592649,0.253503156338507,0.799879422404672,NA,"D630044L22Rik"
"ENSMUSG00000091946",8.01837644310492,0.176598641375538,0.696910723664807,0.253402100697874,0.799957504501141,0.930511553127467,"Gm17518"
"ENSMUSG00000064346",5.77561485355668,-0.206362100137188,0.814492256147765,-0.253362875557837,0.799987812909371,0.930511553127467,"mt-Tw"
"ENSMUSG00000061702",1.52753400585147,0.389164214177015,1.53690724663735,0.253212557249945,0.800103963368392,NA,"Tmem91"
"ENSMUSG00000083146",16.3218116487328,0.117618215723833,0.464520081943531,0.253203726374377,0.800110787094234,0.930589705801158,"Gm15921"
"ENSMUSG00000013418",1.18938380951414,-0.436671080222004,1.72482958833001,-0.253167665476327,0.800138651950722,NA,"B4galnt2"
"ENSMUSG00000069565",538.557659329051,0.0422833570038859,0.167092128903935,0.253054152109077,0.800226367280664,0.930629490456434,"Dazap1"
"ENSMUSG00000055452",33.2411544635891,0.0868243627361567,0.343158856497639,0.253015071860033,0.80025656639477,0.930629490456434,"Gm7353"
"ENSMUSG00000000530",62.6040739985815,-0.0721152915847759,0.285187420258361,-0.252869819851956,0.800368811949764,0.930695142962914,"Acvrl1"
"ENSMUSG00000087535",3.89061318234597,0.246259942779087,0.974247622850491,0.252769354528749,0.800446450369191,0.930720546808311,"D930049A15Rik"
"ENSMUSG00000082545",1.35954757924225,-0.442414229086385,1.75061661136138,-0.252719085501159,0.800485298422226,NA,"Gm12196"
"ENSMUSG00000022303",1.48196065178336,-0.372902795326528,1.47577623689067,-0.252682477197357,0.80051358973814,NA,"Dcstamp"
"ENSMUSG00000022758",1.48196065178336,-0.372902795326528,1.47577623689067,-0.252682477197357,0.80051358973814,NA,"P2rx6"
"ENSMUSG00000039676",1.48196065178336,-0.372902795326528,1.47577623689067,-0.252682477197357,0.80051358973814,NA,"Capsl"
"ENSMUSG00000068537",1.48196065178336,-0.372902795326528,1.47577623689067,-0.252682477197357,0.80051358973814,NA,"Gm10242"
"ENSMUSG00000086983",4.60676145949291,-0.219998251907885,0.870688878544491,-0.252671484992033,0.800522084691235,0.930743617007191,"Gm16972"
"ENSMUSG00000047953",1.55765456343446,0.423065047935432,1.67456146244347,0.252642293175736,0.800544644710977,NA,"Gp5"
"ENSMUSG00000022329",215.283162416907,-0.0420049646992392,0.166351927675891,-0.25250663028732,0.800649489888701,0.930782989590087,"Stk3"
"ENSMUSG00000001786",409.720514819075,-0.0375796270596698,0.148858866331015,-0.252451385570172,0.800692186029687,0.930782989590087,"Fbxo7"
"ENSMUSG00000078780",16.1386357830831,0.122465215705986,0.485387574544493,0.25230397753983,0.800806113937146,0.930782989590087,"Gm5150"
"ENSMUSG00000037683",0.817796000149081,0.534678202090503,2.11955878945568,0.252259198824965,0.800840723103112,NA,"Armc3"
"ENSMUSG00000084798",0.817796000149081,0.534678202090503,2.11955878945568,0.252259198824965,0.800840723103112,NA,"4930533B01Rik"
"ENSMUSG00000085042",11.0029440653206,-0.146086330785771,0.57918862966749,-0.252225826445589,0.800866516643752,0.930782989590087,"2010001M06Rik"
"ENSMUSG00000020246",259.21206128041,-0.0430954007714117,0.170864885802236,-0.252219176392343,0.800871656501552,0.930782989590087,"Hcfc2"
"ENSMUSG00000081359",78.6622615695023,-0.0622840212260639,0.247044353274954,-0.252116757174949,0.80095081789077,0.930782989590087,"Gm15683"
"ENSMUSG00000032396",498.966004859526,0.0381851320671123,0.151513091004586,0.252025299028166,0.801021509027522,0.930782989590087,"Dis3l"
"ENSMUSG00000067657",47.4962754648282,0.0807443750733422,0.320413729918123,0.252000359329093,0.801040786058616,0.930782989590087,"Gm5474"
"ENSMUSG00000024392",1295.09779838201,-0.0354316542833947,0.140614107945965,-0.251977947312444,0.801058109432016,0.930782989590087,"Bag6"
"ENSMUSG00000029918",159.889930596105,0.0504935938732878,0.200524851765666,0.251807162198004,0.801190121037916,0.930871541938607,"Mrps33"
"ENSMUSG00000066952",0.83059449653007,-0.531174965007065,2.1121383393257,-0.251486825042266,0.801437747049825,NA,"Myo1h"
"ENSMUSG00000082514",0.83059449653007,-0.531174965007065,2.1121383393257,-0.251486825042266,0.801437747049825,NA,"Gm11452"
"ENSMUSG00000087151",0.83059449653007,-0.531174965007065,2.1121383393257,-0.251486825042266,0.801437747049825,NA,"Gm14022"
"ENSMUSG00000076434",1.17165035124971,-0.414842407879139,1.64973888048024,-0.251459435664375,0.801458920425959,NA,"Wfdc3"
"ENSMUSG00000020684",6.87847080036631,-0.199930235573382,0.795171502515725,-0.251430332878948,0.801481418512684,0.931062308547277,"Rasl10b"
"ENSMUSG00000074817",24.7625314300242,0.106203654087189,0.422716819639733,0.251240663141113,0.801628047898374,0.931062308547277,"Papolb"
"ENSMUSG00000024663",83.9543933227645,-0.0592819767622154,0.236026146668433,-0.25116698975514,0.801685005011704,0.931062308547277,"Rab3il1"
"ENSMUSG00000083394",9.96316531331651,0.154467373466885,0.615112547241043,0.251120504954282,0.801720943091513,0.931062308547277,"Gm12618"
"ENSMUSG00000083573",7.48287058185977,0.177040686420108,0.705074973868598,0.251094838111645,0.801740786682943,0.931062308547277,"Gm7312"
"ENSMUSG00000024736",27.976311006608,0.105564135551369,0.420487634029839,0.251051700473736,0.801774137612321,0.931062308547277,"Tmem132a"
"ENSMUSG00000024293",233.837958931816,0.0459195544843562,0.182936464607864,0.251013676156844,0.801803535587934,0.931062308547277,"Esco1"
"ENSMUSG00000028796",567.274534733183,-0.0376536915963074,0.150039724602085,-0.250958149224596,0.801846465973,0.931062308547277,"Phc2"
"ENSMUSG00000021550",652.063689428379,-0.0369879518576836,0.147394648642691,-0.25094501190032,0.801856623120653,0.931062308547277,"2210016F16Rik"
"ENSMUSG00000082371",2.34647510086236,-0.325366470384268,1.29660975832583,-0.250936311635028,0.801863349766007,NA,"Gm3712"
